Generation script started at Thu 30 May 2024 08:30:20 PM CDT
Processing AQA, model gemma-7b, trained on no_context, evaluated with no_context
Completed AQA, model gemma-7b, trained on no_context, evaluated with no_context
Processing AQA, model gemma-7b, trained on no_context, evaluated with relevant_context
Completed AQA, model gemma-7b, trained on no_context, evaluated with relevant_context
Processing AQA, model gemma-7b, trained on no_context, evaluated with random_context
Completed AQA, model gemma-7b, trained on no_context, evaluated with random_context
Processing AQA, model gemma-7b, trained on no_context, evaluated with wrong_date_context
Completed AQA, model gemma-7b, trained on no_context, evaluated with wrong_date_context
Processing AQA, model gemma-7b, trained on relevant_context, evaluated with no_context
Completed AQA, model gemma-7b, trained on relevant_context, evaluated with no_context
Processing AQA, model gemma-7b, trained on relevant_context, evaluated with relevant_context
Completed AQA, model gemma-7b, trained on relevant_context, evaluated with relevant_context
Processing AQA, model gemma-7b, trained on relevant_context, evaluated with random_context
Completed AQA, model gemma-7b, trained on relevant_context, evaluated with random_context
Processing AQA, model gemma-7b, trained on relevant_context, evaluated with wrong_date_context
Completed AQA, model gemma-7b, trained on relevant_context, evaluated with wrong_date_context
Processing AQA, model gemma-7b, trained on random_context, evaluated with no_context
Completed AQA, model gemma-7b, trained on random_context, evaluated with no_context
Processing AQA, model gemma-7b, trained on random_context, evaluated with relevant_context
Completed AQA, model gemma-7b, trained on random_context, evaluated with relevant_context
Processing AQA, model gemma-7b, trained on random_context, evaluated with random_context
Completed AQA, model gemma-7b, trained on random_context, evaluated with random_context
Processing AQA, model gemma-7b, trained on random_context, evaluated with wrong_date_context
Completed AQA, model gemma-7b, trained on random_context, evaluated with wrong_date_context
Processing AQA, model gemma-7b, trained on wrong_date_context, evaluated with no_context
Completed AQA, model gemma-7b, trained on wrong_date_context, evaluated with no_context
Processing AQA, model gemma-7b, trained on wrong_date_context, evaluated with relevant_context
Completed AQA, model gemma-7b, trained on wrong_date_context, evaluated with relevant_context
Processing AQA, model gemma-7b, trained on wrong_date_context, evaluated with random_context
Completed AQA, model gemma-7b, trained on wrong_date_context, evaluated with random_context
Processing AQA, model gemma-7b, trained on wrong_date_context, evaluated with wrong_date_context
Completed AQA, model gemma-7b, trained on wrong_date_context, evaluated with wrong_date_context
Processing AQA, model gemma-2b, trained on no_context, evaluated with no_context
Completed AQA, model gemma-2b, trained on no_context, evaluated with no_context
Processing AQA, model gemma-2b, trained on no_context, evaluated with relevant_context
Completed AQA, model gemma-2b, trained on no_context, evaluated with relevant_context
Processing AQA, model gemma-2b, trained on no_context, evaluated with random_context
Completed AQA, model gemma-2b, trained on no_context, evaluated with random_context
Processing AQA, model gemma-2b, trained on no_context, evaluated with wrong_date_context
Completed AQA, model gemma-2b, trained on no_context, evaluated with wrong_date_context
Processing AQA, model gemma-2b, trained on relevant_context, evaluated with no_context
Completed AQA, model gemma-2b, trained on relevant_context, evaluated with no_context
Processing AQA, model gemma-2b, trained on relevant_context, evaluated with relevant_context
Completed AQA, model gemma-2b, trained on relevant_context, evaluated with relevant_context
Processing AQA, model gemma-2b, trained on relevant_context, evaluated with random_context
Completed AQA, model gemma-2b, trained on relevant_context, evaluated with random_context
Processing AQA, model gemma-2b, trained on relevant_context, evaluated with wrong_date_context
Completed AQA, model gemma-2b, trained on relevant_context, evaluated with wrong_date_context
Processing AQA, model gemma-2b, trained on random_context, evaluated with no_context
Completed AQA, model gemma-2b, trained on random_context, evaluated with no_context
Processing AQA, model gemma-2b, trained on random_context, evaluated with relevant_context
Completed AQA, model gemma-2b, trained on random_context, evaluated with relevant_context
Processing AQA, model gemma-2b, trained on random_context, evaluated with random_context
Completed AQA, model gemma-2b, trained on random_context, evaluated with random_context
Processing AQA, model gemma-2b, trained on random_context, evaluated with wrong_date_context
Completed AQA, model gemma-2b, trained on random_context, evaluated with wrong_date_context
Processing AQA, model gemma-2b, trained on wrong_date_context, evaluated with no_context
Completed AQA, model gemma-2b, trained on wrong_date_context, evaluated with no_context
Processing AQA, model gemma-2b, trained on wrong_date_context, evaluated with relevant_context
Completed AQA, model gemma-2b, trained on wrong_date_context, evaluated with relevant_context
Processing AQA, model gemma-2b, trained on wrong_date_context, evaluated with random_context
Completed AQA, model gemma-2b, trained on wrong_date_context, evaluated with random_context
Processing AQA, model gemma-2b, trained on wrong_date_context, evaluated with wrong_date_context
Completed AQA, model gemma-2b, trained on wrong_date_context, evaluated with wrong_date_context
Generation script ended at Thu 30 May 2024 08:30:21 PM CDT
